name,type,country,region_city,season_dates,ages,price,website,facebook_instagram,host,source_directory,confidence,dedup_status,notes
Worldschool Pop Up El Salvador,,El Salvador,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2026-02-11)
Earth School Aotearoa,,New Zealand,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2026-01-25)
Cacao Coast CR | Worldschooling Hub in Puerto Viejo,,Costa Rica,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-10-08)
Colegio Menfis Worldschool in Colombia,,Colombia,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-01-21)
Worldschool Gathering the Netherlands,,Netherlands,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-06-20)
"Worldschooling Hub in Luxor, Egypt | Egyptian Adventures",,Egypt,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-02-14)
Shanti Shanti Kampot Worldschooling Hub Meetup,,Cambodia,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2026-01-28)
Treehouse Summit,,,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2026-04-17)
Summer Camp at Ecovillage Georgia,,Georgia,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-04-29)
Project Worldschool Peru Retreat | Teen Hub in the Sacred Valley,,Peru,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Austrian Alps Worldschooling Retreat for Families,,Austria,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2026-05-10)
Oaxaca Worldschool Pop-Up Hub November 2026,,Mexico,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Mendocino Worldschool Pop-Up Hub June 2026,,United States,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Inside Romania Worldschooling – Explore Transylvania with Teens,,Romania,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-08-19)
Worldschooling Secondary School in Thailand | Global Classroom,,Thailand,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-04-06)
Antigua Guatemala Global Explorers | Worldschooling Hub,,Guatemala,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-05-31)
Mirleft Cultural Cove,,Morocco,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-05-30)
Worldschool Gathering Croatia – October 2025 Hub,,Croatia,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-06-20)
Wander &amp; Wonder | European Worldschool Pop-up Hub,,,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-07-30)
Mexico City Worldschool Pop-Up Hub New Year 2026,,Mexico,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2027-01-04)
Buenos Aires Worldschool Pop-Up Hub December 2026,,Argentina,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
San Miguel Worldschool Pop-Up Hub October 2026,,Mexico,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
The Field School of Hvar | Worldschooling Hub in Croatia,,Croatia,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-12-01)
Osaka Worldschool Pop-Up | Budget-Friendly Worldschooling,,Japan,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Luang Prabang Worldschool Pop-Up Hub August 2026,,Laos,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
"Worldschooling Family Retreat in Ardèche, France | ReCreation",,France,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Bornholm Worldschool Hub | Family-Centered Learning in Denmark,,Denmark,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-06-20)
Worldschooling Hub Goa,,India,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-02-07)
Bali Bliss Hub,,Indonesia,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-10-21)
Algarve Worldschooling Hub | Nov 2025–May 2026,,Portugal,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
"Shepherd&#039;s Rest Worldschooling Hub in Oria, Spain",,Spain,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-01-09)
Siem Reap Bliss Hub - Cambodia,,Cambodia,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-10-21)
Future Human Project | Bali Worldschooling for Teens,,Indonesia,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-12-19)
Guanacaste Children&#039;s Community Center,,Costa Rica,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-01-22)
Borneo Rainforest | Worldschool Camp for Families,,Malaysia,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-10-10)
Valencia Forest School in Spain,,Spain,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing
Pai Bliss Hub - Thailand,,Thailand,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-10-21)
Koh Lanta Bliss Hub - Thailand,,Thailand,,,,,,,,aggregator-diff:worldschooly.com,inbox,NEW,extracted from worldschooly.com listing (listing dated 2025-10-21)
